"Biomarker","Matrix","Age range","Group","Collection period (CHMS cycle, years)","Number of samples","Percent of samples below limit of detection","Detection frequency (95% CI)","Geometric mean (95% CI)","10th percentile (95% CI)","50th percentile (95% CI)","95th percentile (95% CI)","Limit of detection","Units"
"glyphosate","urine","3 to 79","total","4 (2014–2015)","2,378","5.47","92.9 (88.6–95.6)","0.48 (0.42–0.55)","0.11 (0.081–0.13)","0.51 (0.41–0.61)","2.8 (1.9–3.6)","0.077","µg/L"
"glyphosate","urine","3 to 5","total","4 (2014–2015)","394","4.57","96.4 (94.3–97.7)","0.67 (0.50–0.90)","0.12 (<LOD–0.17)","0.87 (0.50–1.2)","2.9 (2.2–3.6)","0.077","µg/L"
"glyphosate","urine","6 to 11","total","4 (2014–2015)","399","2.26","97.9 (95.9–98.9)","0.80 (0.65–0.99)","0.19 (0.11–0.27)","0.86 (0.61–1.1)","3.2 (2.6–3.8)","0.077","µg/L"
"glyphosate","urine","12 to 19","total","4 (2014–2015)","395","2.03","98.3 (89.9–99.7)","0.65 (0.49–0.85)","0.14 (0.081–0.21)","0.68 (0.39–0.98)","3.1 (2.0–4.1)","0.077","µg/L"
"glyphosate","urine","20 to 39","total","4 (2014–2015)","396","10.10","88.6 (76.8–94.8)","0.38 (0.32–0.45)","<LOD","0.42 (0.26–0.59)","1.9 (<LOD–3.9)","0.077","µg/L"
"glyphosate","urine","40 to 59","total","4 (2014–2015)","398","8.04","92.9 (85.8–96.6)","0.41 (0.32–0.53)","0.11 (<LOD–0.15)","0.38 (0.25–0.50)","2.1 (0.15–4.1)","0.077","µg/L"
"glyphosate","urine","60 to 79","total","4 (2014–2015)","396","5.81","94.2 (91–96.4)","0.60 (0.49–0.74)","0.13 (0.087–0.17)","0.68 (0.49–0.87)","3.0 (2.2–3.7)","0.077","µg/L"
"glyphosate","urine","3 to 79","males","4 (2014–2015)","1,187","4.21","95.1 (92.2–97)","0.54 (0.47–0.62)","0.15 (0.10–0.20)","0.54 (0.43–0.64)","2.9 (1.8–3.9)","0.077","µg/L"
"glyphosate","urine","3 to 79","females","4 (2014–2015)","1,191","6.72","90.7 (82.9–95.1)","0.43 (0.34–0.54)","0.091 (<LOD–0.12)","0.47 (0.35–0.60)","2.5 (1.6–3.4)","0.077","µg/L"
"glyphosate","urine","3 to 79","total","5 (2016–2017)","2,382","8.94","84.8 (80.5–88.4)","0.32 (0.28–0.36)","<LOD","0.35 (0.30–0.41)","1.9 (1.4–2.5)","0.077","µg/L"
"glyphosate","urine","3 to 5","total","5 (2016–2017)","397","4.28","95.6 (88.4–98.4)","0.49 (0.39–0.61)","0.11 (<LOD–0.18)","0.54 (0.44–0.64)","2.2 (1.6–2.8)","0.077","µg/L"
"glyphosate","urine","6 to 11","total","5 (2016–2017)","398","4.77","93.4 (86.7–96.9)","0.54 (0.43–0.68)","0.13 (<LOD–0.20)","0.69 (0.52–0.87)","2.3 (1.9–2.7)","0.077","µg/L"
"glyphosate","urine","12 to 19","total","5 (2016–2017)","397","5.04","95.9 (92.8–97.7)","0.50 (0.42–0.60)","0.13 (<LOD–0.19)","0.53 (0.42–0.65)","2.1 (1.6–2.6)","0.077","µg/L"
"glyphosate","urine","20 to 39","total","5 (2016–2017)","394","14.47","75.2 (63.3–84.2)","0.24 (0.19–0.31)","<LOD","0.31 (0.24–0.38)","1.7 (0.98–2.4)","0.077","µg/L"
"glyphosate","urine","40 to 59","total","5 (2016–2017)","397","14.86","85.5 (76–91.7)","0.28 (0.21–0.36)","<LOD","0.30 (0.18–0.41)","1.2 (1.0–1.5)","0.077","µg/L"
"glyphosate","urine","60 to 79","total","5 (2016–2017)","399","10.28","87.9 (82.7–91.8)","0.34 (0.29–0.40)","<LOD","0.33 (0.27–0.38)","2.6 (1.8–3.4)","0.077","µg/L"
"glyphosate","urine","3 to 79","males","5 (2016–2017)","1,189","6.48","87.6 (81.5–92)","0.36 (0.32–0.41)","<LOD","0.38 (0.31–0.44)","2.2 (1.5–2.8)","0.077","µg/L"
"glyphosate","urine","3 to 79","females","5 (2016–2017)","1,193","11.40","82 (74.2–87.9)","0.28 (0.22–0.35)","<LOD","0.33 (0.26–0.39)","1.7 (1.1–2.2)","0.077","µg/L"
"glyphosate","urine","3 to 79","total","6 (2018–2019)","2,335","12.63","80.2 (76.5–83.4)","0.25 (0.22–0.28)","<LOD","0.25 (0.19–0.32)","1.9 (1.7–2.2)","0.077","µg/L"
"glyphosate","urine","3 to 5","total","6 (2018–2019)","393","9.41","89.6 (85.8–92.5)","0.40 (0.33–0.50)","<LOD","0.45 (0.26–0.63)","2.1 (1.4–2.8)","0.077","µg/L"
"glyphosate","urine","6 to 11","total","6 (2018–2019)","388","4.38","95 (88.8–97.9)","0.52 (0.39–0.69)","0.14 (0.091–0.19)","0.57 (0.43–0.71)","3.1 (1.4–4.8)","0.077","µg/L"
"glyphosate","urine","12 to 19","total","6 (2018–2019)","389","9.00","87.9 (77.1–94)","0.41 (0.33–0.50)","<LOD","0.45 (0.33–0.57)","3.3 (2.1–4.6)","0.077","µg/L"
"glyphosate","urine","20 to 39","total","6 (2018–2019)","387","20.16","72.4 (60.5–81.8)","0.19 (0.15–0.25)","<LOD","0.19 (0.12–0.25)","1.6 (1.2–2.0)","0.077","µg/L"
"glyphosate","urine","40 to 59","total","6 (2018–2019)","388","20.88","74.7 (65.4–82.2)","0.19 (0.15–0.25)","<LOD","0.21 (0.15–0.27)","1.2 (0.76–1.6)","0.077","µg/L"
"glyphosate","urine","60 to 79","total","6 (2018–2019)","390","12.05","88.6 (81.5–93.2)","0.31 (0.24–0.41)","<LOD","0.34 (0.21–0.46)","2.2 (1.5–3.0)","0.077","µg/L"
"glyphosate","urine","3 to 79","males","6 (2018–2019)","1,167","9.85","84.8 (77.3–90.2)","0.30 (0.25–0.36)","<LOD","0.33 (0.25–0.40)","2.1 (1.6–2.5)","0.077","µg/L"
"glyphosate","urine","3 to 79","females","6 (2018–2019)","1,168","15.41","75.5 (70.6–79.9)","0.21 (0.18–0.25)","<LOD","0.21 (0.17–0.26)","1.6 (1.3–1.9)","0.077","µg/L"
